hotspots,threads_per_block,blocks,total_threads,N,time_ms,throughput_ops_per_sec,sum
1,32,32,1024,100000,2152.693359,4.756832e+07,102400000
1,32,64,2048,100000,219.073502,9.348461e+08,204800000
1,32,128,4096,100000,434.195435,9.433540e+08,409600000
1,32,256,8192,100000,863.963257,9.481885e+08,819200000
1,32,512,16384,100000,1724.235474,9.502182e+08,1638400000
1,32,1024,32768,100000,3444.911621,9.512000e+08,3276800000
1,64,16,1024,100000,111.986526,9.143957e+08,102400000
1,64,32,2048,100000,219.308899,9.338426e+08,204800000
1,64,64,4096,100000,433.898712,9.439991e+08,409600000
1,64,128,8192,100000,863.987610,9.481617e+08,819200000
1,64,256,16384,100000,1724.600342,9.500172e+08,1638400000
1,64,512,32768,100000,3445.431641,9.510565e+08,3276800000
1,128,8,1024,100000,112.003906,9.142538e+08,102400000
1,128,16,2048,100000,219.373703,9.335668e+08,204800000
1,128,32,4096,100000,433.794586,9.442257e+08,409600000
1,128,64,8192,100000,864.300354,9.478187e+08,819200000
1,128,128,16384,100000,1724.286987,9.501899e+08,1638400000
1,128,256,32768,100000,3472.043457,9.437670e+08,3276800000
1,256,4,1024,100000,113.703331,9.005893e+08,102400000
1,256,8,2048,100000,222.636322,9.198858e+08,204800000
1,256,16,4096,100000,441.590393,9.275564e+08,409600000
1,256,32,8192,100000,878.304382,9.327063e+08,819200000
1,256,64,16384,100000,1752.820679,9.347220e+08,1638400000
1,256,128,32768,100000,3499.914795,9.362514e+08,3276800000
1,512,2,1024,100000,113.731842,9.003635e+08,102400000
1,512,4,2048,100000,222.709351,9.195842e+08,204800000
1,512,8,4096,100000,441.670624,9.273879e+08,409600000
1,512,16,8192,100000,877.822449,9.332183e+08,819200000
1,512,32,16384,100000,1751.692017,9.353242e+08,1638400000
1,512,64,32768,100000,3499.843018,9.362706e+08,3276800000
